algorithm,instance,cost,time_ms,approx_ratio
my_tsp,test4,4,0.028218,1.0000
my_tsp,test18,180,0.133968,0.8036
my_tsp,test20,212,0.174933,0.9636
my_tsp,test22,232,0.155543,0.6187
my_tsp,test24,252,0.20809,0.9000
my_tsp,a280,2922,19.8702,1.1330
my_tsp,xql662,3020,121.312,1.2018
my_tsp,kz9976,1270665,31614.1,1.1966
my_tsp,test4,4,0.036559,1.0000
my_tsp,test18,180,0.164203,1.0000
my_tsp,test20,212,0.173426,1.0600
my_tsp,test22,232,0.199893,1.0545
my_tsp,test24,252,0.226227,1.0500
my_tsp,a280,2922,20.714,1.1330
my_tsp,xql662,3020,118.486,1.2018
