algorithm,instance,cost,time_ms,approx_ratio
christofides_2approx,test4,4,0.024393,1.0000
christofides_2approx,test18,210,0.136434,1.1667
christofides_2approx,test20,268,0.165281,1.3400
christofides_2approx,test22,308,0.203543,1.4000
christofides_2approx,test24,348,0.209573,1.4500
christofides_2approx,a280,3549,15.5573,1.3761
christofides_2approx,xql662,3537,99.0367,1.4075
christofides_2approx,kz9976,1455342,22425.7,1.3705
christofides_2approx,mona-lisa_sample,2733985,17768,N/A
christofides_2approx,test4,4,0.032233,1.0000
christofides_2approx,test18,210,0.142696,1.1667
christofides_2approx,test20,268,0.170213,1.3400
christofides_2approx,test22,308,0.16359,1.4000
christofides_2approx,test24,348,0.184972,1.4500
christofides_2approx,a280,3549,16.6907,1.3761
christofides_2approx,xql662,3537,99.898,1.4075
christofides_2approx,kz9976,1455342,24250.4,1.3705
christofides_2approx,mona-lisa_sample,2733985,18697.2,N/A
christofides_2approx,test4,4,0.025378,1.0000
christofides_2approx,test18,210,0.118105,1.1667
christofides_2approx,test20,268,0.1371,1.3400
christofides_2approx,test22,308,0.198366,1.4000
christofides_2approx,test24,348,0.254977,1.4500
christofides_2approx,a280,3549,18.5205,1.3761
christofides_2approx,xql662,3537,101.76,1.4075
christofides_2approx,kz9976,1455342,23569.5,1.3705
christofides_2approx,mona-lisa_sample,2733985,19145.9,N/A
christofides_2approx,test4,4,0.029168,1.0000
christofides_2approx,test18,210,0.139629,1.1667
christofides_2approx,test20,268,0.173503,1.3400
christofides_2approx,test22,308,0.194546,1.4000
christofides_2approx,test24,348,0.226891,1.4500
christofides_2approx,a280,3549,16.4483,1.3761
christofides_2approx,xql662,3537,103.463,1.4075
christofides_2approx,kz9976,1455342,24797.4,1.3705
christofides_2approx,mona-lisa_sample,2733985,19773.7,N/A
christofides_2approx,test4,4,0.024712,1.0000
christofides_2approx,test18,210,0.15713,1.1667
christofides_2approx,test20,268,0.169553,1.3400
christofides_2approx,test22,308,0.192951,1.4000
christofides_2approx,test24,348,0.223004,1.4500
christofides_2approx,a280,3549,16.6203,1.3761
christofides_2approx,xql662,3537,117.158,1.4075
christofides_2approx,kz9976,1455342,24326.9,1.3705
christofides_2approx,mona-lisa_sample,2733985,19919.6,N/A
