algorithm,instance,cost,time_ms,approx_ratio
christofides_greedy,test4,4,0.034193,1.0000
christofides_greedy,test18,180,0.163912,1.0000
christofides_greedy,test20,212,0.207004,1.0600
christofides_greedy,test22,232,0.215699,1.0545
christofides_greedy,test24,252,0.227134,1.0500
christofides_greedy,a280,2922,19.7933,1.1330
christofides_greedy,xql662,3020,120.391,1.2018
christofides_greedy,kz9976,1270665,33925.7,1.1966
christofides_greedy,mona-lisa_sample,2249093,34267.3,N/A
christofides_greedy,test4,4,0.027371,1.0000
christofides_greedy,test18,180,0.234501,1.0000
christofides_greedy,test20,212,0.178415,1.0600
christofides_greedy,test22,232,0.200034,1.0545
christofides_greedy,test24,252,0.180608,1.0500
christofides_greedy,a280,2922,21.4351,1.1330
christofides_greedy,xql662,3020,119.51,1.2018
christofides_greedy,kz9976,1270665,32267.3,1.1966
christofides_greedy,mona-lisa_sample,2249093,33156.9,N/A
christofides_greedy,test4,4,0.028614,1.0000
christofides_greedy,test18,180,0.156881,1.0000
christofides_greedy,test20,212,0.171219,1.0600
christofides_greedy,test22,232,0.205468,1.0545
christofides_greedy,test24,252,0.223762,1.0500
christofides_greedy,a280,2922,21.005,1.1330
christofides_greedy,xql662,3020,120.399,1.2018
christofides_greedy,kz9976,1270665,32075.8,1.1966
christofides_greedy,mona-lisa_sample,2249093,33053.8,N/A
christofides_greedy,test4,4,0.036043,1.0000
christofides_greedy,test18,180,0.167691,1.0000
christofides_greedy,test20,212,0.201588,1.0600
christofides_greedy,test22,232,0.230651,1.0545
christofides_greedy,test24,252,0.232912,1.0500
christofides_greedy,a280,2922,21.7878,1.1330
christofides_greedy,xql662,3020,132.291,1.2018
christofides_greedy,kz9976,1270665,34409.3,1.1966
christofides_greedy,mona-lisa_sample,2249093,36164.8,N/A
christofides_greedy,test4,4,0.03389,1.0000
christofides_greedy,test18,180,0.16308,1.0000
christofides_greedy,test20,212,0.177639,1.0600
christofides_greedy,test22,232,0.199713,1.0545
christofides_greedy,test24,252,0.223815,1.0500
christofides_greedy,a280,2922,21.0886,1.1330
christofides_greedy,xql662,3020,122.873,1.2018
christofides_greedy,kz9976,1270665,34298.6,1.1966
christofides_greedy,mona-lisa_sample,2249093,36331.1,N/A
