algorithm,instance,cost,time_ms,approx_ratio
held_karp,test4,4,0.013473,1.0000
held_karp,test18,180,281.466,1.0000
held_karp,test20,200,1360.74,1.0000
held_karp,test22,220,6955.24,1.0000
held_karp,test24,240,32627.3,1.0000
held_karp,test4,4,0.016342,1.0000
held_karp,test18,180,304.031,1.0000
held_karp,test20,200,1444.8,1.0000
held_karp,test22,220,6870.49,1.0000
held_karp,test24,240,32978.5,1.0000
held_karp,test4,4,0.013496,1.0000
held_karp,test18,180,278.402,1.0000
held_karp,test20,200,1371.92,1.0000
held_karp,test22,220,6534.47,1.0000
held_karp,test24,240,31106.8,1.0000
held_karp,test4,4,0.013354,1.0000
held_karp,test18,180,277.078,1.0000
held_karp,test20,200,1393.68,1.0000
held_karp,test22,220,6613.76,1.0000
held_karp,test24,240,30944.9,1.0000
