algorithm,instance,cost,time_ms,approx_ratio
my_tsp,test4,4,0.103588,1.0000
my_tsp,test18,236,0.424975,1.3111
my_tsp,test20,264,0.467785,1.3200
my_tsp,test22,280,0.521178,1.2727
my_tsp,test24,311,0.640089,1.2958
my_tsp,a280,3796,19.5568,1.4719
my_tsp,xql662,3998,92.6595,1.5909
my_tsp,kz9976,1638824,25356.6,1.5433
my_tsp,test4,4,0.103645,1.0000
my_tsp,test18,236,0.401563,1.3111
my_tsp,test20,264,0.608173,1.3200
my_tsp,test22,280,0.68558,1.2727
my_tsp,test24,311,0.597842,1.2958
my_tsp,a280,3796,25.1402,1.4719
my_tsp,xql662,3998,92.0273,1.5909
my_tsp,kz9976,1638824,24993.1,1.5433
my_tsp,mona-lisa_sample,2728769,26297.8,N/A
my_tsp,test4,4,0.292646,1.0000
my_tsp,test18,236,0.604512,1.3111
my_tsp,test20,264,0.781554,1.3200
my_tsp,test22,280,0.89141,1.2727
my_tsp,test24,311,0.760985,1.2958
my_tsp,a280,3796,20.0954,1.4719
my_tsp,xql662,3998,93.3401,1.5909
my_tsp,kz9976,1638824,24629.7,1.5433
my_tsp,mona-lisa_sample,2728769,25107.5,N/A
my_tsp,test4,4,0.300523,1.0000
my_tsp,test18,236,0.73548,1.3111
my_tsp,test20,264,0.853207,1.3200
my_tsp,test22,280,1.00743,1.2727
my_tsp,test24,311,0.814939,1.2958
my_tsp,a280,3796,20.157,1.4719
my_tsp,xql662,3998,95.2091,1.5909
my_tsp,kz9976,1638824,24943.8,1.5433
my_tsp,mona-lisa_sample,2728769,25414.5,N/A
my_tsp,test4,4,0.396535,1.0000
my_tsp,test18,236,0.611463,1.3111
my_tsp,test20,264,0.700268,1.3200
my_tsp,test22,280,0.863002,1.2727
my_tsp,test24,311,0.975695,1.2958
my_tsp,a280,3796,20.4318,1.4719
my_tsp,xql662,3998,93.5296,1.5909
my_tsp,kz9976,1638824,24710.7,1.5433
my_tsp,mona-lisa_sample,2728769,25472.7,N/A
